y,probyes,cum,obs
1,0.995678949,99,189
0,0.995592595,99,190
1,0.995526579,100,191
0,0.995383333,100,192
0,0.995378101,100,193
1,0.995304213,101,194
1,0.995273574,102,195
1,0.995095952,103,196
0,0.994991752,103,197
1,0.994949442,104,198
1,0.994824759,105,199
0,0.994821828,105,200
0,0.994668984,105,201
1,0.994665519,106,202
1,0.994631328,107,203
1,0.994522836,108,204
1,0.994514427,109,205
0,0.994487359,109,206
0,0.994470323,109,207
1,0.994313577,110,208
1,0.994257923,111,209
1,0.994212785,112,210
0,0.994207222,112,211
1,0.993957373,113,212
0,0.993787406,113,213
1,0.993784446,114,214
0,0.993738492,114,215
1,0.993660469,115,216
0,0.993572394,115,217
1,0.993541866,116,218
0,0.993529619,116,219
1,0.993516755,117,220
1,0.993501052,118,221
0,0.993494416,118,222
1,0.993484413,119,223
0,0.993432411,119,224
0,0.993399889,119,225
1,0.993320537,120,226
0,0.993279709,120,227
1,0.993221306,121,228
0,0.993089291,121,229
1,0.993060327,122,230
1,0.993008694,123,231
1,0.992892186,124,232
0,0.992866596,124,233
1,0.99280732,125,234
0,0.992735215,125,235
1,0.992731772,126,236
1,0.99273018,127,237
1,0.992662732,128,238
1,0.992639231,129,239
0,0.992357055,129,240
0,0.992305558,129,241
1,0.992298539,130,242
1,0.992182793,131,243
1,0.992147749,132,244
0,0.992083036,132,245
0,0.992064903,132,246
0,0.992061195,132,247
1,0.99199605,133,248
1,0.991960065,134,249
1,0.991693716,135,250
0,0.991539788,135,251
1,0.991463368,136,252
1,0.991432175,137,253
1,0.991413881,138,254
1,0.991341133,139,255
0,0.991330732,139,256
0,0.991250581,139,257
0,0.991244044,139,258
0,0.991002933,139,259
1,0.990922616,140,260
0,0.990911196,140,261
0,0.990886143,140,262
1,0.99075061,141,263
1,0.990723335,142,264
1,0.990662173,143,265
0,0.99057031,143,266
0,0.990522415,143,267
1,0.99048309,144,268
1,0.990387314,145,269
1,0.990355116,146,270
1,0.990312147,147,271
1,0.990254113,148,272
0,0.990250744,148,273
0,0.990198599,148,274
0,0.99015562,148,275
0,0.990107304,148,276
1,0.990064952,149,277
1,0.990049865,150,278
0,0.989985537,150,279
1,0.989875392,151,280
0,0.98980411,151,281
1,0.989705648,152,282
0,0.989693901,152,283
0,0.989587125,152,284
1,0.989431788,153,285
1,0.989406451,154,286
0,0.989374477,154,287
1,0.989294976,155,288
0,0.989129954,155,289
0,0.989100461,155,290
1,0.988981501,156,291
0,0.988867366,156,292
0,0.988839376,156,293
0,0.98883047,156,294
1,0.988790209,157,295
0,0.988779626,157,296
0,0.988648536,157,297
1,0.988566502,158,298
1,0.98835824,159,299
1,0.98824655,160,300
0,0.987867843,160,301
0,0.987818955,160,302
1,0.987672273,161,303
0,0.987616702,161,304
0,0.987574138,161,305
0,0.987395652,161,306
0,0.98730411,161,307
1,0.987282809,162,308
1,0.987273507,163,309
1,0.987258305,164,310
1,0.987220282,165,311
0,0.987081089,165,312
1,0.986968909,166,313
1,0.986858532,167,314
1,0.98672369,168,315
1,0.98671539,169,316
0,0.986647616,169,317
0,0.986515258,169,318
0,0.98631737,169,319
1,0.986304759,170,320
1,0.986235734,171,321
1,0.986199527,172,322
0,0.986122703,172,323
1,0.986064722,173,324
0,0.985980014,173,325
1,0.985975974,174,326
0,0.9859732,174,327
0,0.985963272,174,328
0,0.985833941,174,329
1,0.98582673,175,330
0,0.985701707,175,331
0,0.985550071,175,332
1,0.985544829,176,333
1,0.985527019,177,334
0,0.985456841,177,335
1,0.985450218,178,336
1,0.985397941,179,337
1,0.985386221,180,338
1,0.985379189,181,339
1,0.985375085,182,340
0,0.985362297,182,341
1,0.985284009,183,342
0,0.985247208,183,343
1,0.98521401,184,344
1,0.985115906,185,345
0,0.984877861,185,346
0,0.984706194,185,347
1,0.984701428,186,348
1,0.98464949,187,349
0,0.984614502,187,350
1,0.984501519,188,351
1,0.984464578,189,352
0,0.984452564,189,353
0,0.984426808,189,354
0,0.984359585,189,355
1,0.984322719,190,356
1,0.984310857,191,357
1,0.984294129,192,358
0,0.984215891,192,359
0,0.984187428,192,360
0,0.983999796,192,361
0,0.983918672,192,362
0,0.983823963,192,363
1,0.983760201,193,364
1,0.983744726,194,365
0,0.983596109,194,366
1,0.983526131,195,367
1,0.983434431,196,368
1,0.983421217,197,369
0,0.983200917,197,370
1,0.98303913,198,371
1,0.982829529,199,372
0,0.982759196,199,373
1,0.982682529,200,374
0,0.982640111,200,375
0,0.982588738,200,376
1,0.982581373,201,377
1,0.982546471,202,378
1,0.982455763,203,379
0,0.982420504,203,380
1,0.98236402,204,381
1,0.982343804,205,382
0,0.982123425,205,383
0,0.982122997,205,384
1,0.981887414,206,385
1,0.981696107,207,386
1,0.981669447,208,387
0,0.981558535,208,388
0,0.981393275,208,389
0,0.98137301,208,390
1,0.981270354,209,391
0,0.981032392,209,392
1,0.98100424,210,393
1,0.980998455,211,394
0,0.98099171,211,395
0,0.980917016,211,396
0,0.980868211,211,397
1,0.980837117,212,398
0,0.980810959,212,399
1,0.980786085,213,400
1,0.9807503,214,401
1,0.980692032,215,402
0,0.980654451,215,403
1,0.980567783,216,404
1,0.98053284,217,405
1,0.980422994,218,406
1,0.980316343,219,407
1,0.980270895,220,408
1,0.980193872,221,409
0,0.980070112,221,410
1,0.979951328,222,411
0,0.979912588,222,412
0,0.979879993,222,413
1,0.97969023,223,414
1,0.979633952,224,415
0,0.97962908,224,416
0,0.979525603,224,417
0,0.979515043,224,418
1,0.9794721,225,419
1,0.979369431,226,420
1,0.979341841,227,421
1,0.979058152,228,422
1,0.979057213,229,423
0,0.97905602,229,424
1,0.979052296,230,425
0,0.978876708,230,426
0,0.978820165,230,427
0,0.978758743,230,428
0,0.978533709,230,429
0,0.978432638,230,430
1,0.978284933,231,431
0,0.978141084,231,432
1,0.978069037,232,433
0,0.978035353,232,434
1,0.977881982,233,435
1,0.977804913,234,436
1,0.977766071,235,437
0,0.977420854,235,438
0,0.977403214,235,439
0,0.977240177,235,440
0,0.977224081,235,441
0,0.977148632,235,442
1,0.976962839,236,443
1,0.976940083,237,444
1,0.976812926,238,445
1,0.976741074,239,446
1,0.976724224,240,447
1,0.976697342,241,448
0,0.976531562,241,449
1,0.976349741,242,450
1,0.976089892,243,451
1,0.975976397,244,452
1,0.975933655,245,453
0,0.975932565,245,454
1,0.975927519,246,455
0,0.975861185,246,456
1,0.975849083,247,457
0,0.975838504,247,458
1,0.975755201,248,459
0,0.975713217,248,460
1,0.975712804,249,461
0,0.975666499,249,462
1,0.975415947,250,463
0,0.975411549,250,464
0,0.974954675,250,465
1,0.974835199,251,466
1,0.974821389,252,467
1,0.974743756,253,468
1,0.974682235,254,469
0,0.974571815,254,470
0,0.974549482,254,471
1,0.974410027,255,472
1,0.974351444,256,473
1,0.974311113,257,474
0,0.974290281,257,475
0,0.974273122,257,476
1,0.973773041,258,477
1,0.973767243,259,478
0,0.973717416,259,479
1,0.973710981,260,480
1,0.973520061,261,481
1,0.973457367,262,482
1,0.973412807,263,483
1,0.973291496,264,484
0,0.973273834,264,485
1,0.973192594,265,486
0,0.972968951,265,487
1,0.97279943,266,488
1,0.972692877,267,489
0,0.972670493,267,490
0,0.972622001,267,491
0,0.972498998,267,492
1,0.972461814,268,493
1,0.972423354,269,494
0,0.972264546,269,495
0,0.972228485,269,496
1,0.972179113,270,497
0,0.972077861,270,498
1,0.971515751,271,499
1,0.971449516,272,500
1,0.971388057,273,501
0,0.9713785,273,502
1,0.971352565,274,503
1,0.971320163,275,504
0,0.971104264,275,505
1,0.97104241,276,506
0,0.970924528,276,507
1,0.970902811,277,508
1,0.970831343,278,509
0,0.970710898,278,510
0,0.970693994,278,511
1,0.970575902,279,512
0,0.970309346,279,513
1,0.969840147,280,514
1,0.969822891,281,515
0,0.969797131,281,516
0,0.969387601,281,517
1,0.969212108,282,518
0,0.969146979,282,519
1,0.969105335,283,520
0,0.969065244,283,521
0,0.968950174,283,522
1,0.968693387,284,523
0,0.968528362,284,524
0,0.968510483,284,525
0,0.96846193,284,526
1,0.968327434,285,527
0,0.968192044,285,528
1,0.968084265,286,529
1,0.967987193,287,530
0,0.96781012,287,531
0,0.967778422,287,532
0,0.967775528,287,533
1,0.96765604,288,534
0,0.967621883,288,535
1,0.967451197,289,536
1,0.967313396,290,537
0,0.967153798,290,538
0,0.967126709,290,539
1,0.967109842,291,540
1,0.967086645,292,541
1,0.967001981,293,542
1,0.966994634,294,543
0,0.966874362,294,544
1,0.966854626,295,545
0,0.966774557,295,546
1,0.966765986,296,547
0,0.966661084,296,548
0,0.966656482,296,549
1,0.966580939,297,550
1,0.966552559,298,551
1,0.966410611,299,552
1,0.966398501,300,553
1,0.966241658,301,554
0,0.966233561,301,555
0,0.966231329,301,556
0,0.965826602,301,557
0,0.965644764,301,558
1,0.965574244,302,559
0,0.965533974,302,560
0,0.965533734,302,561
1,0.965402123,303,562
1,0.965344213,304,563
0,0.965255301,304,564
1,0.965222681,305,565
1,0.965140218,306,566
1,0.964980134,307,567
1,0.964963361,308,568
1,0.964901784,309,569
0,0.964856442,309,570
1,0.964818241,310,571
0,0.964488174,310,572
0,0.964440048,310,573
0,0.964426169,310,574
1,0.96442,311,575
1,0.964368974,312,576
0,0.964272809,312,577
1,0.96425347,313,578
0,0.96421067,313,579
1,0.964144915,314,580
1,0.964060061,315,581
0,0.963563922,315,582
0,0.963290527,315,583
1,0.963124972,316,584
0,0.962795962,316,585
0,0.962774865,316,586
1,0.962572649,317,587
1,0.962442752,318,588
1,0.962171867,319,589
0,0.96204075,319,590
0,0.961861794,319,591
0,0.961818784,319,592
1,0.961817962,320,593
1,0.961682417,321,594
1,0.961665183,322,595
1,0.961364177,323,596
0,0.961354348,323,597
0,0.961042061,323,598
1,0.960984797,324,599
0,0.960976495,324,600
0,0.960866643,324,601
1,0.960759887,325,602
0,0.960751411,325,603
1,0.960707691,326,604
0,0.960444422,326,605
0,0.960383402,326,606
1,0.960303044,327,607
0,0.960266645,327,608
1,0.960263883,328,609
0,0.960236706,328,610
1,0.959937937,329,611
1,0.959861437,330,612
1,0.959830681,331,613
0,0.959781092,331,614
1,0.959741484,332,615
1,0.959488623,333,616
1,0.959475226,334,617
1,0.959350681,335,618
0,0.959281343,335,619
1,0.959168777,336,620
1,0.959158335,337,621
1,0.95896603,338,622
1,0.958714287,339,623
0,0.958684401,339,624
1,0.958682389,340,625
1,0.958634449,341,626
1,0.958631277,342,627
1,0.958619957,343,628
0,0.958612261,343,629
1,0.958565435,344,630
1,0.958472714,345,631
0,0.958316679,345,632
1,0.958282743,346,633
0,0.958156442,346,634
0,0.958056907,346,635
0,0.957820853,346,636
0,0.957655347,346,637
0,0.957633833,346,638
1,0.957472627,347,639
0,0.957386285,347,640
1,0.95733021,348,641
0,0.957188542,348,642
0,0.957173065,348,643
0,0.957103094,348,644
1,0.956919904,349,645
1,0.956532748,350,646
0,0.956035393,350,647
0,0.955971679,350,648
1,0.955938197,351,649
1,0.955755362,352,650
1,0.955698333,353,651
0,0.955457224,353,652
1,0.955345245,354,653
0,0.955116085,354,654
1,0.954427169,355,655
1,0.954420252,356,656
1,0.953966089,357,657
0,0.953578003,357,658
1,0.953505537,358,659
0,0.953243112,358,660
1,0.953226235,359,661
1,0.952939805,360,662
1,0.952928421,361,663
1,0.952834674,362,664
1,0.952312985,363,665
0,0.952264442,363,666
0,0.952263578,363,667
1,0.95221102,364,668
0,0.952083517,364,669
1,0.951942325,365,670
0,0.95168693,365,671
1,0.951580811,366,672
1,0.951503725,367,673
1,0.951242806,368,674
0,0.951033421,368,675
0,0.950919201,368,676
1,0.950631081,369,677
0,0.950354815,369,678
1,0.950272137,370,679
1,0.950050783,371,680
1,0.949756164,372,681
0,0.94959073,372,682
0,0.949561868,372,683
0,0.949283722,372,684
1,0.949081628,373,685
1,0.949054413,374,686
0,0.948914481,374,687
1,0.948741456,375,688
0,0.948571126,375,689
1,0.948290295,376,690
0,0.94827625,376,691
0,0.948153904,376,692
1,0.948064167,377,693
1,0.948038635,378,694
0,0.947916608,378,695
1,0.947786481,379,696
1,0.947737863,380,697
0,0.947701525,380,698
0,0.947615595,380,699
0,0.947416678,380,700
1,0.947305213,381,701
0,0.947247987,381,702
1,0.947129194,382,703
0,0.947104341,382,704
0,0.947062625,382,705
1,0.946652027,383,706
1,0.946486138,384,707
0,0.94647623,384,708
0,0.946331323,384,709
1,0.94620365,385,710
0,0.946201573,385,711
1,0.946108098,386,712
0,0.945928401,386,713
0,0.945615179,386,714
0,0.945591888,386,715
0,0.945361013,386,716
1,0.945313513,387,717
0,0.945312624,387,718
0,0.945244904,387,719
1,0.945137014,388,720
1,0.945120741,389,721
0,0.944930835,389,722
0,0.944845735,389,723
1,0.944766075,390,724
0,0.944670993,390,725
1,0.944426301,391,726
0,0.944234871,391,727
1,0.944066134,392,728
0,0.94403439,392,729
0,0.943936547,392,730
1,0.943841829,393,731
0,0.943765178,393,732
0,0.943631115,393,733
0,0.943586077,393,734
1,0.943524744,394,735
1,0.943433898,395,736
0,0.943220428,395,737
0,0.943197106,395,738
1,0.943171266,396,739
0,0.943087164,396,740
1,0.942880371,397,741
1,0.94277923,398,742
1,0.942727873,399,743
0,0.941716542,399,744
1,0.941597555,400,745
0,0.941320862,400,746
0,0.941106579,400,747
0,0.941038091,400,748
1,0.94103676,401,749
1,0.940556431,402,750
0,0.940339656,402,751
1,0.940309612,403,752
0,0.940295107,403,753
1,0.940112672,404,754
0,0.939883976,404,755
1,0.939850845,405,756
1,0.939751024,406,757
1,0.939614825,407,758
0,0.939472492,407,759
1,0.939420498,408,760
1,0.939291697,409,761
0,0.938951397,409,762
1,0.938940379,410,763
0,0.938902185,410,764
1,0.938684479,411,765
0,0.938658505,411,766
1,0.938521278,412,767
0,0.938483509,412,768
1,0.938478971,413,769
1,0.938386771,414,770
0,0.938302744,414,771
0,0.938149852,414,772
1,0.937891255,415,773
1,0.937846572,416,774
1,0.937461434,417,775
1,0.937452112,418,776
0,0.937151801,418,777
0,0.936919614,418,778
0,0.93682759,418,779
1,0.936679972,419,780
0,0.936366411,419,781
1,0.936331783,420,782
0,0.936317534,420,783
0,0.936153184,420,784
1,0.936116259,421,785
0,0.93595911,421,786
0,0.935865408,421,787
1,0.935829302,422,788
0,0.935688695,422,789
0,0.935582621,422,790
0,0.935572905,422,791
0,0.934939025,422,792
1,0.934906718,423,793
0,0.934874432,423,794
1,0.934506054,424,795
1,0.934504096,425,796
1,0.934209176,426,797
0,0.933792506,426,798
0,0.933728143,426,799
0,0.933708339,426,800
0,0.933245862,426,801
0,0.933216065,426,802
1,0.93301564,427,803
0,0.932770685,427,804
1,0.932596532,428,805
1,0.932463915,429,806
1,0.932237395,430,807
0,0.932192681,430,808
0,0.931997648,430,809
0,0.931803201,430,810
1,0.931680671,431,811
1,0.931381999,432,812
1,0.931352493,433,813
1,0.931039563,434,814
0,0.931015649,434,815
0,0.930933871,434,816
1,0.930868865,435,817
1,0.93075365,436,818
0,0.930695415,436,819
1,0.930617496,437,820
0,0.930524252,437,821
1,0.930484198,438,822
0,0.929813406,438,823
0,0.929777622,438,824
1,0.929711858,439,825
1,0.929548483,440,826
0,0.929534638,440,827
0,0.929383655,440,828
1,0.929228283,441,829
1,0.929112677,442,830
0,0.927787958,442,831
0,0.92754821,442,832
1,0.92731916,443,833
0,0.9272661,443,834
1,0.92712576,444,835
1,0.927053231,445,836
0,0.927027461,445,837
0,0.926666146,445,838
0,0.926475151,445,839
1,0.926169997,446,840
1,0.926168123,447,841
0,0.926143434,447,842
0,0.926053901,447,843
1,0.925914756,448,844
1,0.925648381,449,845
1,0.925329238,450,846
1,0.925272312,451,847
0,0.92522362,451,848
1,0.925165913,452,849
1,0.923723564,453,850
0,0.923699746,453,851
0,0.923635981,453,852
1,0.923617683,454,853
1,0.923510889,455,854
1,0.923458784,456,855
1,0.923328032,457,856
1,0.92322967,458,857
0,0.92320096,458,858
0,0.92312377,458,859
1,0.92245925,459,860
1,0.922245455,460,861
1,0.922037935,461,862
1,0.921946104,462,863
0,0.921766356,462,864
0,0.921646449,462,865
0,0.921604656,462,866
1,0.921458139,463,867
1,0.921399685,464,868
1,0.921314024,465,869
1,0.921312575,466,870
0,0.921159444,466,871
1,0.920788524,467,872
1,0.920776984,468,873
0,0.92068457,468,874
1,0.920493298,469,875
0,0.920482041,469,876
1,0.920222487,470,877
1,0.920176033,471,878
1,0.919437634,472,879
0,0.919371478,472,880
1,0.919148146,473,881
1,0.918935813,474,882
0,0.918890286,474,883
1,0.918795731,475,884
0,0.918200722,475,885
0,0.918039817,475,886
0,0.917967886,475,887
1,0.917353969,476,888
0,0.917270746,476,889
0,0.917264842,476,890
1,0.917252304,477,891
0,0.917251666,477,892
1,0.91671885,478,893
0,0.916508094,478,894
0,0.916483512,478,895
1,0.916462675,479,896
1,0.91624783,480,897
0,0.916232051,480,898
1,0.915913123,481,899
0,0.91589379,481,900
1,0.915725398,482,901
0,0.915474311,482,902
0,0.915449313,482,903
0,0.915214288,482,904
0,0.915149628,482,905
1,0.9151185,483,906
0,0.914964138,483,907
0,0.914929229,483,908
0,0.914760395,483,909
0,0.914626419,483,910
0,0.914356907,483,911
1,0.914244656,484,912
0,0.914045762,484,913
0,0.913648567,484,914
1,0.913568503,485,915
0,0.913153405,485,916
1,0.913142762,486,917
0,0.9129643,486,918
1,0.912947866,487,919
1,0.912938997,488,920
0,0.912861169,488,921
0,0.912813,488,922
0,0.912598757,488,923
0,0.911791997,488,924
1,0.911329753,489,925
1,0.91105634,490,926
0,0.910946934,490,927
1,0.910777209,491,928
0,0.91069593,491,929
1,0.910613721,492,930
0,0.91025555,492,931
1,0.910252626,493,932
1,0.91025011,494,933
0,0.910200378,494,934
0,0.910191877,494,935
0,0.910177178,494,936
0,0.909955819,494,937
0,0.909883821,494,938
1,0.909806453,495,939
0,0.909719909,495,940
0,0.909645998,495,941
1,0.909590833,496,942
1,0.909274816,497,943
0,0.909146374,497,944
0,0.909136891,497,945
0,0.909132001,497,946
0,0.908575542,497,947
1,0.908340376,498,948
0,0.908317295,498,949
0,0.908165585,498,950
1,0.908038503,499,951
0,0.907999482,499,952
0,0.90795468,499,953
0,0.90794343,499,954
0,0.907917232,499,955
0,0.907813127,499,956
1,0.907788888,500,957
0,0.907400603,500,958
0,0.907198628,500,959
0,0.906915838,500,960
0,0.906904795,500,961
1,0.906520612,501,962
0,0.906475248,501,963
1,0.906414818,502,964
0,0.906407608,502,965
0,0.906402704,502,966
1,0.906399345,503,967
0,0.906371038,503,968
0,0.906084557,503,969
0,0.906040486,503,970
1,0.905754055,504,971
0,0.905731619,504,972
1,0.905531344,505,973
1,0.905456124,506,974
0,0.905371461,506,975
1,0.905166038,507,976
0,0.905030186,507,977
0,0.904826701,507,978
1,0.904767971,508,979
1,0.904379427,509,980
0,0.904340903,509,981
1,0.904084306,510,982
0,0.903476186,510,983
1,0.903312864,511,984
0,0.9032232,511,985
0,0.903090516,511,986
1,0.903072153,512,987
1,0.902979714,513,988
1,0.902923543,514,989
0,0.90265192,514,990
1,0.902508244,515,991
0,0.902462991,515,992
0,0.9022404,515,993
0,0.902205378,515,994
0,0.90198274,515,995
0,0.901836484,515,996
0,0.901757081,515,997
0,0.901541168,515,998
0,0.901287686,515,999
0,0.901166961,515,1000
0,0.901049601,515,1001
0,0.901038973,515,1002
0,0.900976645,515,1003
1,0.900364432,516,1004
1,0.899620391,517,1005
0,0.899547674,517,1006
0,0.89928197,517,1007
0,0.899104415,517,1008
0,0.899069066,517,1009
1,0.898991853,518,1010
0,0.898804931,518,1011
0,0.898740135,518,1012
0,0.898673226,518,1013
0,0.898320482,518,1014
0,0.897868681,518,1015
1,0.897581595,519,1016
1,0.897080143,520,1017
0,0.896810141,520,1018
1,0.896764491,521,1019
0,0.896646598,521,1020
0,0.896579781,521,1021
1,0.896429824,522,1022
1,0.896083956,523,1023
0,0.895862817,523,1024
1,0.895484133,524,1025
0,0.895075422,524,1026
1,0.894630353,525,1027
0,0.894411529,525,1028
0,0.893710083,525,1029
0,0.89337336,525,1030
1,0.893343598,526,1031
0,0.893031819,526,1032
1,0.892759591,527,1033
0,0.892719048,527,1034
0,0.892379179,527,1035
1,0.892339125,528,1036
0,0.892317199,528,1037
1,0.892129397,529,1038
1,0.892027288,530,1039
0,0.891822912,530,1040
1,0.891591851,531,1041
0,0.891560569,531,1042
0,0.891524096,531,1043
1,0.891486335,532,1044
1,0.891365314,533,1045
1,0.891099183,534,1046
0,0.890857956,534,1047
0,0.890535961,534,1048
0,0.890409834,534,1049
0,0.890255425,534,1050
0,0.89000003,534,1051
1,0.889241589,535,1052
0,0.889020954,535,1053
0,0.888729961,535,1054
1,0.888541022,536,1055
1,0.888114277,537,1056
1,0.887906749,538,1057
0,0.887771538,538,1058
0,0.887735565,538,1059
1,0.887135285,539,1060
0,0.886967585,539,1061
0,0.886856975,539,1062
0,0.886668598,539,1063
0,0.886468091,539,1064
0,0.886446472,539,1065
1,0.886421667,540,1066
0,0.886353268,540,1067
0,0.885753105,540,1068
0,0.885737055,540,1069
0,0.885068587,540,1070
1,0.885065454,541,1071
1,0.884931517,542,1072
0,0.884829568,542,1073
0,0.884788086,542,1074
0,0.884740289,542,1075
0,0.884607798,542,1076
1,0.88460202,543,1077
0,0.884441962,543,1078
1,0.883928541,544,1079
1,0.883771843,545,1080
0,0.883581492,545,1081
0,0.883111585,545,1082
1,0.883095873,546,1083
1,0.882824767,547,1084
1,0.882737763,548,1085
1,0.882686018,549,1086
0,0.882477968,549,1087
0,0.88240147,549,1088
0,0.882180303,549,1089
1,0.881996042,550,1090
1,0.881898631,551,1091
0,0.881589946,551,1092
0,0.881485308,551,1093
1,0.881370344,552,1094
1,0.881322825,553,1095
0,0.881172087,553,1096
0,0.881134282,553,1097
1,0.881051725,554,1098
0,0.880919593,554,1099
0,0.880759002,554,1100
0,0.880689039,554,1101
0,0.880388595,554,1102
0,0.880026697,554,1103
1,0.878983199,555,1104
0,0.878943006,555,1105
1,0.878859435,556,1106
0,0.878773341,556,1107
0,0.878524415,556,1108
0,0.87835386,556,1109
0,0.878038776,556,1110
0,0.877954002,556,1111
0,0.877905541,556,1112
1,0.877773467,557,1113
0,0.877574116,557,1114
0,0.877552305,557,1115
1,0.877543622,558,1116
1,0.877523526,559,1117
0,0.877379284,559,1118
1,0.877291038,560,1119
0,0.877074278,560,1120
1,0.876997688,561,1121
0,0.876955093,561,1122
0,0.876852223,561,1123
1,0.876471295,562,1124
1,0.876373733,563,1125
0,0.876243707,563,1126
1,0.875784294,564,1127
1,0.875774307,565,1128
0,0.875714632,565,1129
0,0.87560547,565,1130
1,0.875460729,566,1131
0,0.875297071,566,1132
1,0.874973141,567,1133
1,0.874724208,568,1134
0,0.874636472,568,1135
0,0.874471667,568,1136
0,0.87430527,568,1137
0,0.873800798,568,1138
0,0.873455925,568,1139
1,0.873406376,569,1140
1,0.873381762,570,1141
1,0.873160092,571,1142
0,0.872943038,571,1143
0,0.872913244,571,1144
1,0.872800735,572,1145
1,0.872688029,573,1146
0,0.872560139,573,1147
0,0.872460738,573,1148
1,0.872457066,574,1149
1,0.872393514,575,1150
0,0.872368576,575,1151
0,0.872185864,575,1152
