,X,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
124,40717,49,admin.,married,secondary,no,5361,no,no,cellular,7,aug,70,1,-1,0,unknown,no
125,27490,36,self-employed,divorced,tertiary,no,6385,yes,no,cellular,21,nov,70,2,-1,0,unknown,no
126,29620,48,unemployed,married,secondary,no,11371,yes,no,cellular,3,feb,109,3,-1,0,unknown,no
127,10556,36,services,married,secondary,no,981,no,no,unknown,16,jun,1093,1,-1,0,unknown,yes
128,26430,52,blue-collar,married,secondary,no,4269,yes,yes,cellular,20,nov,44,1,-1,0,unknown,no
129,830,34,management,single,tertiary,no,872,yes,no,unknown,7,may,105,2,-1,0,unknown,no
130,41364,49,management,single,tertiary,no,5689,no,no,cellular,31,aug,470,1,97,3,failure,yes
131,36551,32,technician,married,secondary,no,169,yes,no,cellular,12,may,85,4,350,1,failure,no
132,18721,28,blue-collar,single,primary,no,-30,yes,no,cellular,31,jul,108,5,-1,0,unknown,no
133,798,39,management,married,tertiary,no,305,yes,no,unknown,7,may,275,6,-1,0,unknown,no
134,983,33,entrepreneur,divorced,tertiary,no,188,yes,no,unknown,7,may,118,3,-1,0,unknown,no
135,827,37,services,single,secondary,no,259,yes,no,unknown,7,may,130,1,-1,0,unknown,no
136,29456,28,services,single,secondary,no,387,no,no,cellular,3,feb,158,5,-1,0,unknown,no
137,18611,40,blue-collar,married,secondary,no,598,yes,no,cellular,31,jul,90,5,-1,0,unknown,no
138,1535,33,technician,married,secondary,no,832,yes,yes,unknown,8,may,246,3,-1,0,unknown,no
139,9160,33,housemaid,divorced,secondary,no,-18,yes,no,unknown,5,jun,27,8,-1,0,unknown,no
140,17835,31,entrepreneur,single,tertiary,no,566,yes,no,cellular,29,jul,333,8,-1,0,unknown,no
141,5293,37,admin.,divorced,tertiary,no,4303,yes,no,unknown,23,may,168,1,-1,0,unknown,no
142,2170,26,admin.,single,secondary,no,586,yes,yes,unknown,12,may,215,1,-1,0,unknown,no
143,39030,33,services,divorced,secondary,no,90,yes,no,cellular,18,may,114,2,-1,0,unknown,no
144,40674,44,admin.,married,secondary,no,0,yes,no,cellular,6,aug,142,1,260,1,other,no
145,44900,77,retired,married,tertiary,no,0,no,no,cellular,27,sep,990,4,-1,0,unknown,no
146,27740,42,unemployed,divorced,secondary,no,759,no,no,cellular,28,jan,97,1,169,3,failure,no
147,2240,24,blue-collar,married,secondary,no,94,yes,no,unknown,12,may,166,2,-1,0,unknown,no
148,3536,51,blue-collar,married,primary,no,4497,yes,no,unknown,15,may,276,3,-1,0,unknown,no
149,8598,25,services,single,secondary,no,895,yes,no,unknown,3,jun,167,1,-1,0,unknown,no
150,16964,53,services,married,secondary,no,1364,no,no,cellular,25,jul,77,1,-1,0,unknown,no
151,6649,29,housemaid,married,tertiary,no,420,yes,no,unknown,28,may,95,3,-1,0,unknown,no
152,31349,36,entrepreneur,divorced,tertiary,no,3407,no,no,cellular,16,mar,392,4,-1,0,unknown,yes
153,14221,44,management,married,secondary,yes,0,yes,no,cellular,11,jul,96,2,-1,0,unknown,no
154,32998,36,blue-collar,married,secondary,no,0,yes,no,cellular,17,apr,87,2,322,4,failure,no
155,21935,32,technician,single,tertiary,no,0,no,no,cellular,20,aug,72,4,-1,0,unknown,no
156,25775,56,unemployed,married,primary,no,107,yes,no,cellular,19,nov,149,1,-1,0,unknown,no
157,43476,35,management,single,tertiary,no,2646,no,no,cellular,14,apr,133,8,183,2,success,yes
158,34634,44,blue-collar,married,secondary,no,0,no,no,cellular,5,may,113,2,-1,0,unknown,no
159,34261,31,management,single,tertiary,no,6495,no,no,cellular,4,may,383,2,35,3,failure,no
160,18552,31,blue-collar,married,secondary,no,1030,yes,no,cellular,31,jul,180,5,-1,0,unknown,no
161,13806,45,admin.,single,secondary,no,205,no,yes,cellular,10,jul,329,1,-1,0,unknown,no
162,18350,58,retired,married,secondary,no,53,no,no,cellular,31,jul,102,2,-1,0,unknown,no
163,22857,55,technician,divorced,secondary,no,61,yes,yes,cellular,25,aug,113,3,-1,0,unknown,no
164,44875,36,unemployed,married,secondary,no,17458,no,no,cellular,23,sep,390,2,-1,0,unknown,no
165,42018,30,management,single,tertiary,no,16935,no,no,cellular,28,oct,108,1,-1,0,unknown,no
166,39638,29,management,single,tertiary,no,2907,yes,no,cellular,26,may,150,1,-1,0,unknown,no
167,37271,31,blue-collar,married,primary,no,1127,yes,no,telephone,13,may,43,1,349,1,failure,no
168,7680,55,unemployed,single,primary,no,5,yes,no,unknown,30,may,63,2,-1,0,unknown,no
169,34441,43,technician,married,secondary,no,994,yes,yes,cellular,5,may,51,1,-1,0,unknown,no
170,3425,48,services,single,primary,no,848,yes,no,unknown,15,may,98,1,-1,0,unknown,no
171,19536,32,technician,single,secondary,no,12,no,no,cellular,7,aug,173,2,-1,0,unknown,no
172,315,33,admin.,single,tertiary,no,193,no,no,unknown,5,may,132,2,-1,0,unknown,no
173,28203,37,services,single,secondary,no,594,yes,no,cellular,29,jan,359,1,-1,0,unknown,no
174,13517,54,management,married,primary,no,621,no,yes,cellular,9,jul,180,1,-1,0,unknown,no
175,44944,40,housemaid,married,tertiary,no,0,no,no,unknown,6,oct,6,1,-1,0,unknown,no
176,18799,56,management,married,tertiary,no,-6,no,no,telephone,31,jul,29,16,-1,0,unknown,no
177,13868,36,blue-collar,married,secondary,no,580,no,no,cellular,10,jul,633,1,-1,0,unknown,no
178,36332,34,blue-collar,single,secondary,no,213,yes,no,cellular,11,may,47,1,343,2,failure,no
179,2828,47,management,married,primary,no,4151,yes,no,unknown,14,may,114,1,-1,0,unknown,no
180,10600,30,blue-collar,married,secondary,no,294,yes,yes,unknown,16,jun,50,3,-1,0,unknown,no
181,30513,41,blue-collar,married,primary,no,336,yes,no,cellular,5,feb,192,2,8,1,other,no
182,1359,28,blue-collar,married,unknown,no,486,yes,no,unknown,8,may,180,1,-1,0,unknown,no
183,2830,33,technician,single,secondary,no,261,yes,no,unknown,14,may,622,1,-1,0,unknown,no
184,19965,32,technician,single,tertiary,no,1190,yes,no,cellular,8,aug,131,4,-1,0,unknown,no
185,13549,49,technician,single,secondary,no,-120,yes,yes,cellular,9,jul,100,5,-1,0,unknown,no
186,9812,50,retired,single,primary,no,208,no,no,unknown,9,jun,51,1,-1,0,unknown,no
187,13740,31,blue-collar,married,secondary,no,2,yes,no,cellular,10,jul,371,1,-1,0,unknown,no
188,16146,26,services,married,secondary,no,-379,yes,yes,cellular,22,jul,1237,7,-1,0,unknown,yes
189,19880,40,technician,single,secondary,no,8259,no,no,cellular,8,aug,254,4,-1,0,unknown,no
190,13457,31,management,married,tertiary,no,272,yes,no,cellular,9,jul,174,1,-1,0,unknown,no
191,10837,46,unknown,married,tertiary,no,5837,no,no,unknown,17,jun,71,1,-1,0,unknown,no
192,19837,52,blue-collar,married,secondary,no,331,no,no,cellular,8,aug,84,4,-1,0,unknown,no
193,24471,31,admin.,married,secondary,no,1246,yes,no,cellular,17,nov,111,2,-1,0,unknown,no
194,42046,30,management,single,tertiary,no,0,no,no,cellular,29,oct,437,2,-1,0,unknown,no
195,23077,60,management,married,tertiary,no,0,no,no,cellular,26,aug,362,6,-1,0,unknown,no
196,33984,33,admin.,married,secondary,no,920,no,no,cellular,30,apr,344,1,-1,0,unknown,yes
197,20297,32,management,single,secondary,no,2018,no,no,cellular,11,aug,1238,1,-1,0,unknown,yes
198,4839,30,technician,single,secondary,no,908,yes,no,unknown,21,may,27,1,-1,0,unknown,no
199,31340,60,technician,married,secondary,no,1740,no,no,cellular,13,mar,296,2,-1,0,unknown,yes
200,12029,55,admin.,divorced,secondary,no,166,no,no,unknown,20,jun,84,4,-1,0,unknown,no
201,40214,31,technician,single,secondary,no,816,no,no,cellular,9,jun,100,2,-1,0,unknown,no
202,31306,43,technician,married,secondary,no,1358,no,no,cellular,10,mar,159,3,-1,0,unknown,yes
203,26779,31,blue-collar,single,secondary,no,297,yes,no,cellular,20,nov,279,2,-1,0,unknown,no
204,28430,58,unemployed,divorced,primary,no,414,no,no,cellular,29,jan,267,1,-1,0,unknown,no
205,17052,55,self-employed,married,secondary,no,2387,yes,no,cellular,25,jul,155,4,-1,0,unknown,no
206,35359,45,housemaid,married,tertiary,no,0,yes,no,telephone,7,may,309,1,-1,0,unknown,no
207,19830,47,management,married,secondary,no,7,no,no,telephone,8,aug,53,2,-1,0,unknown,no
208,13434,36,admin.,single,secondary,no,281,no,no,cellular,9,jul,225,2,-1,0,unknown,no
209,25586,41,admin.,married,secondary,no,80,no,no,cellular,19,nov,202,1,-1,0,unknown,no
210,22483,52,technician,married,secondary,no,2944,no,no,cellular,22,aug,22,18,-1,0,unknown,no
211,28819,32,services,divorced,secondary,no,130,yes,no,cellular,30,jan,194,3,-1,0,unknown,no
212,22463,52,services,married,secondary,no,145,no,no,cellular,22,aug,205,4,-1,0,unknown,no
213,42509,56,retired,married,secondary,no,393,no,yes,cellular,17,dec,103,1,206,1,failure,no
214,40887,61,management,single,tertiary,no,2,no,no,cellular,12,aug,131,1,114,3,failure,yes
215,12915,31,technician,single,secondary,no,49,yes,no,cellular,7,jul,234,1,-1,0,unknown,no
216,25915,41,management,married,tertiary,no,-608,yes,no,cellular,19,nov,12,6,-1,0,unknown,no
217,30948,30,technician,single,secondary,no,237,no,no,cellular,9,feb,112,2,-1,0,unknown,no
218,33952,55,retired,married,tertiary,no,357,yes,no,cellular,30,apr,878,1,-1,0,unknown,no
219,42616,29,admin.,single,tertiary,no,14,no,no,cellular,12,jan,106,1,105,2,failure,no
220,9780,37,blue-collar,married,primary,no,178,yes,yes,unknown,9,jun,72,1,-1,0,unknown,no
221,31107,62,retired,married,unknown,no,800,no,no,cellular,17,feb,737,1,-1,0,unknown,yes
222,8753,51,technician,married,secondary,no,1446,yes,no,unknown,4,jun,84,7,-1,0,unknown,no
223,25328,33,blue-collar,married,secondary,no,328,yes,no,cellular,18,nov,160,2,182,1,failure,no
224,35371,23,blue-collar,single,secondary,no,537,yes,no,cellular,7,may,172,1,353,2,other,no
225,43425,33,management,single,tertiary,no,718,yes,no,cellular,6,apr,122,1,98,2,success,yes
226,26685,31,unemployed,married,primary,no,3837,no,no,cellular,20,nov,340,1,-1,0,unknown,no
227,6469,34,blue-collar,married,secondary,no,-1725,yes,no,unknown,27,may,452,2,-1,0,unknown,no
228,31221,35,admin.,married,unknown,no,1055,no,no,cellular,2,mar,59,2,-1,0,unknown,no
229,40512,28,services,single,secondary,no,126,no,no,cellular,7,jul,321,1,-1,0,unknown,no
230,39199,24,services,single,secondary,no,1299,yes,yes,cellular,18,may,113,2,-1,0,unknown,no
231,44364,33,management,married,tertiary,no,643,no,no,cellular,2,aug,203,3,94,1,other,no
232,34158,50,admin.,single,secondary,no,2252,no,no,cellular,30,apr,652,2,-1,0,unknown,yes
233,35755,37,technician,divorced,secondary,no,262,yes,no,cellular,8,may,268,1,281,4,other,no
234,23200,37,technician,married,tertiary,no,143,no,no,cellular,27,aug,57,6,-1,0,unknown,no
235,33443,38,entrepreneur,married,secondary,no,0,yes,yes,cellular,20,apr,305,2,154,1,failure,no
236,40133,25,services,single,secondary,no,801,no,no,cellular,5,jun,255,2,-1,0,unknown,yes
237,10517,45,management,married,tertiary,no,1493,no,no,unknown,16,jun,140,3,-1,0,unknown,no
238,24270,49,technician,divorced,secondary,no,7,yes,yes,cellular,17,nov,50,1,-1,0,unknown,no
239,12284,29,blue-collar,married,secondary,no,214,yes,yes,unknown,25,jun,372,5,-1,0,unknown,no
240,37428,45,management,married,tertiary,no,54,yes,no,telephone,13,may,107,3,-1,0,unknown,no
241,39105,33,admin.,single,tertiary,no,235,yes,no,cellular,18,may,525,1,-1,0,unknown,yes
242,35492,33,technician,divorced,secondary,no,2,yes,no,cellular,7,may,600,2,330,17,failure,no
243,23894,33,technician,married,tertiary,no,503,no,no,cellular,29,aug,91,2,-1,0,unknown,no
244,38687,27,admin.,married,secondary,no,1417,yes,no,cellular,15,may,143,2,343,3,failure,no
245,31482,38,admin.,single,secondary,no,10,no,no,cellular,1,apr,117,1,-1,0,unknown,no
246,23289,55,technician,married,secondary,no,570,no,no,cellular,27,aug,94,6,-1,0,unknown,no
247,15202,30,blue-collar,married,primary,no,135,yes,no,telephone,17,jul,268,5,-1,0,unknown,no
248,9914,36,management,married,tertiary,no,2823,no,no,unknown,9,jun,411,2,-1,0,unknown,no
249,630,32,technician,married,secondary,no,90,yes,yes,unknown,6,may,57,2,-1,0,unknown,no
250,12680,30,services,married,secondary,no,137,no,no,cellular,4,jul,407,1,-1,0,unknown,no
251,10057,55,admin.,married,secondary,no,994,no,no,unknown,11,jun,490,2,-1,0,unknown,no
252,44744,45,management,married,tertiary,no,623,no,no,cellular,9,sep,405,3,-1,0,unknown,no
253,16973,52,retired,married,secondary,no,5423,no,yes,cellular,25,jul,102,1,-1,0,unknown,no
254,17612,42,management,married,secondary,no,1018,no,no,cellular,29,jul,305,2,-1,0,unknown,no
255,22462,32,management,married,tertiary,no,282,no,no,cellular,22,aug,92,2,-1,0,unknown,no
256,27850,26,technician,single,secondary,no,3244,no,no,cellular,28,jan,390,1,-1,0,unknown,no
257,43799,29,student,single,tertiary,no,459,no,no,unknown,26,may,376,1,-1,0,unknown,no
258,9094,42,unknown,single,unknown,no,1316,no,no,unknown,5,jun,285,1,-1,0,unknown,no
259,4535,36,blue-collar,divorced,secondary,no,221,yes,no,unknown,20,may,189,1,-1,0,unknown,no
260,26472,45,management,single,tertiary,no,5769,no,no,cellular,20,nov,59,3,-1,0,unknown,no
261,25407,32,management,married,secondary,no,1477,yes,no,cellular,18,nov,111,1,-1,0,unknown,no
262,4709,37,blue-collar,married,secondary,no,426,yes,no,unknown,20,may,300,3,-1,0,unknown,no
263,16276,49,self-employed,married,tertiary,no,206,yes,no,unknown,23,jul,108,2,-1,0,unknown,no
264,35201,31,services,divorced,primary,no,459,yes,no,cellular,7,may,623,1,293,1,success,yes
265,8058,28,admin.,single,secondary,no,1076,yes,no,unknown,2,jun,537,5,-1,0,unknown,no
266,16971,35,blue-collar,married,primary,no,305,yes,no,cellular,25,jul,168,2,-1,0,unknown,no
267,1837,21,student,single,secondary,no,6,no,no,unknown,9,may,622,1,-1,0,unknown,no
268,23307,45,technician,married,secondary,no,34,no,no,telephone,27,aug,96,7,-1,0,unknown,no
269,42381,63,unemployed,married,primary,no,0,no,no,telephone,30,nov,337,3,-1,0,unknown,no
270,37988,31,management,married,tertiary,no,233,yes,no,cellular,14,may,241,2,365,10,failure,no
271,10699,42,blue-collar,married,primary,no,1752,yes,no,unknown,16,jun,19,21,-1,0,unknown,no
272,10010,39,blue-collar,single,primary,no,2,yes,no,unknown,9,jun,259,2,-1,0,unknown,no
273,9784,58,entrepreneur,married,tertiary,no,2920,yes,no,unknown,9,jun,136,1,-1,0,unknown,no
274,800,56,retired,married,secondary,no,0,yes,no,unknown,7,may,333,4,-1,0,unknown,no
275,35387,51,blue-collar,married,secondary,no,160,yes,no,cellular,7,may,136,1,359,1,failure,no
276,5124,37,technician,single,secondary,no,7867,yes,no,unknown,21,may,36,2,-1,0,unknown,no
277,19435,46,blue-collar,married,primary,no,0,no,no,cellular,6,aug,178,4,-1,0,unknown,no
278,8081,36,blue-collar,married,secondary,no,426,yes,no,unknown,2,jun,59,3,-1,0,unknown,no
279,26177,32,technician,married,secondary,no,344,yes,no,cellular,20,nov,179,1,197,1,failure,no
280,22046,40,technician,single,secondary,no,34,no,no,cellular,20,aug,66,3,-1,0,unknown,no
