,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
158,60,retired,divorced,secondary,no,216,yes,no,unknown,5,may,238,1,-1,0,unknown,no
163,47,services,single,secondary,no,176,yes,no,unknown,5,may,303,2,-1,0,unknown,no
164,40,blue-collar,married,secondary,no,1225,yes,no,unknown,5,may,558,5,-1,0,unknown,no
166,26,admin.,single,secondary,no,82,yes,no,unknown,5,may,228,1,-1,0,unknown,no
167,52,management,married,tertiary,no,271,yes,no,unknown,5,may,99,1,-1,0,unknown,no
171,35,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,1056,1,-1,0,unknown,no
176,53,admin.,divorced,secondary,no,1151,yes,no,unknown,5,may,412,1,-1,0,unknown,no
183,35,services,married,secondary,no,59,yes,no,unknown,5,may,1077,1,-1,0,unknown,no
184,38,technician,married,secondary,no,253,yes,no,unknown,5,may,416,1,-1,0,unknown,no
186,58,retired,married,primary,no,235,yes,no,unknown,5,may,167,1,-1,0,unknown,no
187,40,services,divorced,unknown,no,4384,yes,no,unknown,5,may,315,1,-1,0,unknown,no
188,54,management,married,secondary,no,4080,no,no,unknown,5,may,140,1,-1,0,unknown,no
198,50,technician,divorced,tertiary,no,173,no,yes,unknown,5,may,98,1,-1,0,unknown,no
206,50,services,married,secondary,no,5699,yes,no,unknown,5,may,381,2,-1,0,unknown,no
208,41,management,married,tertiary,no,517,yes,no,unknown,5,may,251,1,-1,0,unknown,no
216,40,technician,married,tertiary,no,483,yes,no,unknown,5,may,168,1,-1,0,unknown,no
217,47,unknown,married,unknown,no,28,no,no,unknown,5,may,338,2,-1,0,unknown,no
226,48,blue-collar,married,primary,no,278,yes,no,unknown,5,may,125,2,-1,0,unknown,no
238,37,blue-collar,married,primary,no,0,yes,no,unknown,5,may,79,1,-1,0,unknown,no
248,40,management,married,tertiary,no,207,yes,no,unknown,5,may,39,1,-1,0,unknown,no
265,41,entrepreneur,married,primary,no,236,yes,no,unknown,5,may,151,1,-1,0,unknown,no
266,30,student,single,tertiary,no,25,yes,no,unknown,5,may,89,2,-1,0,unknown,no
269,41,blue-collar,married,primary,no,183,yes,yes,unknown,5,may,110,2,-1,0,unknown,no
271,42,management,single,tertiary,no,0,yes,yes,unknown,5,may,562,2,-1,0,unknown,yes
276,59,retired,married,secondary,no,319,yes,no,unknown,5,may,143,3,-1,0,unknown,no
277,39,services,divorced,secondary,no,-185,yes,no,unknown,5,may,189,3,-1,0,unknown,no
288,50,technician,single,tertiary,no,339,yes,no,unknown,5,may,2,3,-1,0,unknown,no
290,40,self-employed,married,secondary,no,672,yes,no,unknown,5,may,164,2,-1,0,unknown,no
295,34,technician,married,secondary,no,19,yes,no,unknown,5,may,362,4,-1,0,unknown,no
297,31,blue-collar,single,secondary,no,3,yes,no,unknown,5,may,200,2,-1,0,unknown,no
304,36,services,single,secondary,no,62,yes,no,unknown,5,may,215,2,-1,0,unknown,no
306,50,technician,married,secondary,no,1234,yes,no,unknown,5,may,205,2,-1,0,unknown,no
308,55,blue-collar,married,secondary,no,89,yes,no,unknown,5,may,106,3,-1,0,unknown,no
310,43,management,married,unknown,no,0,yes,no,unknown,5,may,105,2,-1,0,unknown,no
312,54,technician,married,unknown,no,851,yes,no,unknown,5,may,108,2,-1,0,unknown,no
316,46,admin.,married,secondary,no,-358,yes,no,unknown,5,may,358,2,-1,0,unknown,no
326,55,management,single,tertiary,no,115,no,no,unknown,5,may,111,4,-1,0,unknown,no
330,41,blue-collar,married,secondary,no,290,yes,no,unknown,5,may,240,2,-1,0,unknown,no
334,58,management,single,tertiary,no,1387,yes,no,unknown,5,may,174,5,-1,0,unknown,no
337,42,admin.,single,secondary,no,1022,yes,no,unknown,5,may,146,2,-1,0,unknown,no
339,51,admin.,single,secondary,yes,-2,no,no,unknown,5,may,402,3,-1,0,unknown,no
340,32,services,single,secondary,no,121,yes,no,unknown,5,may,213,2,-1,0,unknown,no
342,43,management,divorced,secondary,no,693,yes,no,unknown,5,may,124,3,-1,0,unknown,no
344,50,blue-collar,married,primary,no,1533,yes,no,unknown,5,may,325,2,-1,0,unknown,no
354,36,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,195,2,-1,0,unknown,no
357,44,blue-collar,single,secondary,no,34,yes,no,unknown,5,may,404,4,-1,0,unknown,no
364,48,admin.,married,secondary,no,126,yes,yes,unknown,6,may,379,2,-1,0,unknown,no
366,46,technician,married,tertiary,no,841,yes,no,unknown,6,may,158,1,-1,0,unknown,no
367,38,admin.,divorced,secondary,no,308,yes,no,unknown,6,may,102,1,-1,0,unknown,no
368,43,management,divorced,tertiary,no,1,yes,no,unknown,6,may,306,1,-1,0,unknown,no
374,25,admin.,single,secondary,no,122,yes,no,unknown,6,may,286,1,-1,0,unknown,no
382,49,services,married,secondary,no,245,yes,yes,unknown,6,may,318,1,-1,0,unknown,no
383,40,management,married,secondary,no,8486,no,no,unknown,6,may,260,3,-1,0,unknown,no
393,46,technician,divorced,tertiary,no,477,yes,no,unknown,6,may,114,1,-1,0,unknown,no
396,32,technician,single,secondary,no,0,yes,yes,unknown,6,may,135,3,-1,0,unknown,no
397,40,admin.,single,secondary,no,263,yes,no,unknown,6,may,231,1,-1,0,unknown,no
399,34,blue-collar,married,secondary,no,283,no,yes,unknown,6,may,199,1,-1,0,unknown,no
400,47,blue-collar,married,primary,no,206,yes,no,unknown,6,may,152,1,-1,0,unknown,no
409,38,technician,married,secondary,no,284,yes,no,unknown,6,may,483,1,-1,0,unknown,no
410,46,blue-collar,married,secondary,no,1660,yes,no,unknown,6,may,259,1,-1,0,unknown,no
411,32,services,single,secondary,no,406,yes,no,unknown,6,may,227,1,-1,0,unknown,no
412,51,blue-collar,married,primary,no,230,yes,no,unknown,6,may,673,1,-1,0,unknown,no
417,40,technician,married,secondary,no,77,no,no,unknown,6,may,505,1,-1,0,unknown,no
418,43,unemployed,married,secondary,no,0,yes,no,unknown,6,may,245,1,-1,0,unknown,no
419,52,blue-collar,divorced,primary,no,55,yes,yes,unknown,6,may,186,1,-1,0,unknown,no
429,38,technician,single,tertiary,no,4325,yes,no,unknown,6,may,87,1,-1,0,unknown,no
430,40,blue-collar,married,secondary,no,217,yes,no,unknown,6,may,195,1,-1,0,unknown,no
438,35,management,single,tertiary,no,560,yes,no,unknown,6,may,181,1,-1,0,unknown,no
439,58,technician,divorced,secondary,no,469,no,no,unknown,6,may,196,1,-1,0,unknown,no
444,24,self-employed,single,secondary,no,0,yes,no,unknown,6,may,278,1,-1,0,unknown,no
448,50,self-employed,married,unknown,no,-84,yes,no,unknown,6,may,101,1,-1,0,unknown,no
455,34,blue-collar,married,secondary,no,270,yes,yes,unknown,6,may,159,1,-1,0,unknown,no
456,44,blue-collar,married,secondary,no,274,yes,yes,unknown,6,may,409,1,-1,0,unknown,no
465,36,services,single,primary,no,58,yes,no,unknown,6,may,134,1,-1,0,unknown,no
466,57,retired,single,secondary,no,1640,no,yes,unknown,6,may,204,4,-1,0,unknown,no
468,50,blue-collar,married,primary,no,71,yes,no,unknown,6,may,678,1,-1,0,unknown,no
474,39,blue-collar,married,secondary,no,983,yes,no,unknown,6,may,97,1,-1,0,unknown,no
476,40,blue-collar,married,primary,no,668,yes,no,unknown,6,may,283,2,-1,0,unknown,no
479,37,admin.,single,secondary,no,140,yes,no,unknown,6,may,310,1,-1,0,unknown,no
486,54,management,divorced,primary,no,0,no,no,unknown,6,may,472,1,-1,0,unknown,no
491,32,technician,married,secondary,no,0,yes,no,unknown,6,may,176,2,-1,0,unknown,no
497,39,blue-collar,divorced,secondary,no,42,yes,no,unknown,6,may,226,2,-1,0,unknown,no
498,50,blue-collar,divorced,secondary,no,41,yes,no,unknown,6,may,190,1,-1,0,unknown,no
499,44,blue-collar,married,secondary,no,-99,yes,no,unknown,6,may,111,2,-1,0,unknown,no
500,37,technician,single,secondary,no,17,yes,no,unknown,6,may,164,1,-1,0,unknown,no
501,46,admin.,married,primary,no,276,yes,yes,unknown,6,may,157,2,-1,0,unknown,no
504,29,blue-collar,married,secondary,no,9,yes,no,unknown,6,may,349,1,-1,0,unknown,no
509,60,retired,married,secondary,yes,15,no,no,unknown,6,may,80,1,-1,0,unknown,no
511,58,retired,married,secondary,no,5435,yes,no,unknown,6,may,118,1,-1,0,unknown,no
512,34,admin.,married,secondary,no,507,yes,no,unknown,6,may,190,1,-1,0,unknown,no
519,31,technician,married,secondary,no,17,yes,yes,unknown,6,may,120,1,-1,0,unknown,no
520,34,blue-collar,single,tertiary,no,1011,yes,no,unknown,6,may,136,1,-1,0,unknown,no
524,29,management,single,tertiary,no,0,yes,no,unknown,6,may,211,1,-1,0,unknown,no
541,46,blue-collar,married,secondary,no,71,yes,no,unknown,6,may,416,1,-1,0,unknown,no
544,34,admin.,single,secondary,no,0,yes,no,unknown,6,may,150,1,-1,0,unknown,no
546,36,admin.,married,secondary,no,639,yes,no,unknown,6,may,191,1,-1,0,unknown,no
549,36,self-employed,married,tertiary,no,107,yes,no,unknown,6,may,146,1,-1,0,unknown,no
555,33,blue-collar,married,secondary,no,-10,yes,no,unknown,6,may,123,1,-1,0,unknown,no
558,56,admin.,divorced,secondary,no,778,yes,no,unknown,6,may,149,2,-1,0,unknown,no
562,36,admin.,divorced,secondary,no,131,yes,no,unknown,6,may,153,1,-1,0,unknown,no
563,35,entrepreneur,married,secondary,yes,204,yes,no,unknown,6,may,424,2,-1,0,unknown,no
565,59,services,divorced,secondary,no,0,yes,yes,unknown,6,may,97,1,-1,0,unknown,no
576,61,retired,married,secondary,no,195,yes,yes,unknown,6,may,179,1,-1,0,unknown,no
579,53,blue-collar,married,primary,no,25,yes,no,unknown,6,may,266,3,-1,0,unknown,no
590,37,blue-collar,married,primary,no,-325,yes,yes,unknown,6,may,112,2,-1,0,unknown,no
592,38,technician,married,secondary,no,581,yes,no,unknown,6,may,79,1,-1,0,unknown,no
602,37,blue-collar,married,secondary,no,395,yes,no,unknown,6,may,219,2,-1,0,unknown,no
608,51,blue-collar,married,primary,no,653,yes,yes,unknown,6,may,208,1,-1,0,unknown,no
610,32,services,married,secondary,no,243,yes,yes,unknown,6,may,144,1,-1,0,unknown,no
641,55,management,single,secondary,no,220,yes,no,unknown,6,may,328,2,-1,0,unknown,no
646,38,entrepreneur,married,tertiary,no,898,yes,no,unknown,6,may,132,2,-1,0,unknown,no
647,37,technician,married,secondary,no,123,yes,yes,unknown,6,may,530,2,-1,0,unknown,no
650,41,technician,married,secondary,no,-366,yes,yes,unknown,6,may,29,3,-1,0,unknown,no
651,29,student,single,secondary,no,209,yes,no,unknown,6,may,311,2,-1,0,unknown,no
656,33,blue-collar,married,secondary,no,-349,yes,no,unknown,6,may,191,1,-1,0,unknown,no
667,35,admin.,single,secondary,no,148,yes,no,unknown,6,may,128,2,-1,0,unknown,no
669,60,self-employed,married,primary,no,46,yes,no,unknown,6,may,202,4,-1,0,unknown,no
677,37,blue-collar,married,primary,no,215,yes,yes,unknown,6,may,308,3,-1,0,unknown,no
681,46,services,married,unknown,no,80,yes,no,unknown,6,may,245,2,-1,0,unknown,no
682,40,services,divorced,secondary,no,105,yes,no,unknown,6,may,189,2,-1,0,unknown,no
687,40,management,single,tertiary,no,242,yes,no,unknown,6,may,221,2,-1,0,unknown,no
695,36,technician,married,secondary,no,368,yes,yes,unknown,6,may,1597,2,-1,0,unknown,yes
699,30,technician,single,unknown,no,-48,yes,no,unknown,6,may,152,2,-1,0,unknown,no
704,43,services,divorced,secondary,no,0,yes,no,unknown,6,may,125,2,-1,0,unknown,no
709,47,technician,married,secondary,no,503,yes,no,unknown,6,may,109,2,-1,0,unknown,no
715,40,admin.,single,unknown,no,419,yes,no,unknown,6,may,112,3,-1,0,unknown,no
717,53,retired,married,secondary,no,303,yes,no,unknown,6,may,593,2,-1,0,unknown,no
718,39,blue-collar,married,secondary,no,607,yes,no,unknown,6,may,99,2,-1,0,unknown,no
723,52,blue-collar,married,primary,no,58,yes,no,unknown,6,may,213,3,-1,0,unknown,no
726,60,retired,married,primary,no,364,yes,no,unknown,6,may,631,2,-1,0,unknown,no
733,37,blue-collar,married,secondary,no,183,yes,no,unknown,6,may,112,4,-1,0,unknown,no
734,34,management,married,tertiary,no,105,yes,no,unknown,6,may,314,3,-1,0,unknown,no
744,57,blue-collar,married,unknown,no,807,yes,no,unknown,6,may,211,2,-1,0,unknown,no
749,37,blue-collar,single,secondary,no,88,yes,no,unknown,6,may,128,2,-1,0,unknown,no
754,55,unemployed,married,tertiary,no,383,no,no,unknown,6,may,343,3,-1,0,unknown,no
761,33,blue-collar,divorced,secondary,no,60,no,no,unknown,6,may,190,3,-1,0,unknown,no
765,42,technician,married,tertiary,no,239,yes,yes,unknown,6,may,191,3,-1,0,unknown,no
778,45,management,married,tertiary,no,103,yes,no,unknown,7,may,35,4,-1,0,unknown,no
780,42,admin.,married,secondary,no,445,yes,no,unknown,7,may,202,2,-1,0,unknown,no
786,42,management,divorced,tertiary,no,221,yes,no,unknown,7,may,720,2,-1,0,unknown,no
812,45,self-employed,divorced,secondary,no,-139,yes,no,unknown,7,may,152,3,-1,0,unknown,no
820,30,technician,single,tertiary,no,3,yes,no,unknown,7,may,174,1,-1,0,unknown,no
828,35,blue-collar,married,secondary,no,527,yes,yes,unknown,7,may,143,1,-1,0,unknown,no
836,44,technician,divorced,secondary,no,-329,yes,no,unknown,7,may,171,1,-1,0,unknown,no
838,45,entrepreneur,married,secondary,no,68,yes,no,unknown,7,may,254,1,-1,0,unknown,no
841,49,blue-collar,married,secondary,no,64,yes,no,unknown,7,may,293,3,-1,0,unknown,no
846,33,blue-collar,married,primary,no,716,yes,no,unknown,7,may,83,3,-1,0,unknown,no
862,53,admin.,divorced,unknown,no,236,yes,no,unknown,7,may,354,1,-1,0,unknown,no
880,38,admin.,married,secondary,no,8,yes,no,unknown,7,may,125,1,-1,0,unknown,no
883,33,housemaid,married,tertiary,no,98,yes,yes,unknown,7,may,109,1,-1,0,unknown,no
886,29,unemployed,married,tertiary,no,8,yes,no,unknown,7,may,233,1,-1,0,unknown,no
888,40,blue-collar,married,secondary,no,306,yes,no,unknown,7,may,184,2,-1,0,unknown,no
894,59,blue-collar,married,secondary,no,202,yes,no,unknown,7,may,173,1,-1,0,unknown,no
895,29,entrepreneur,married,primary,no,56,yes,yes,unknown,7,may,336,1,-1,0,unknown,no
901,52,admin.,single,secondary,no,545,yes,no,unknown,7,may,260,1,-1,0,unknown,no
904,47,admin.,married,primary,no,192,yes,no,unknown,7,may,47,1,-1,0,unknown,no
906,35,management,married,tertiary,no,267,yes,no,unknown,7,may,192,1,-1,0,unknown,no
915,57,self-employed,married,primary,no,1013,yes,no,unknown,7,may,448,1,-1,0,unknown,no
918,28,blue-collar,single,secondary,no,97,yes,no,unknown,7,may,67,1,-1,0,unknown,no
925,32,blue-collar,married,secondary,no,-205,yes,no,unknown,7,may,388,1,-1,0,unknown,no
926,30,management,single,tertiary,no,112,yes,no,unknown,7,may,245,1,-1,0,unknown,no
927,35,services,married,secondary,no,39,no,no,unknown,7,may,143,1,-1,0,unknown,no
928,55,blue-collar,married,secondary,no,1268,yes,no,unknown,7,may,223,2,-1,0,unknown,no
934,39,blue-collar,married,secondary,yes,-345,yes,no,unknown,7,may,69,1,-1,0,unknown,no
947,35,services,married,secondary,no,528,no,no,unknown,7,may,274,2,-1,0,unknown,no
954,37,management,married,tertiary,no,115,no,no,unknown,7,may,36,1,-1,0,unknown,no
960,39,blue-collar,married,primary,no,106,yes,no,unknown,7,may,56,1,-1,0,unknown,no
962,57,retired,married,tertiary,no,906,yes,no,unknown,7,may,117,1,-1,0,unknown,no
965,46,blue-collar,married,primary,no,143,yes,no,unknown,7,may,279,1,-1,0,unknown,no
968,29,services,single,secondary,no,703,yes,no,unknown,7,may,129,5,-1,0,unknown,no
974,58,retired,married,secondary,no,268,yes,no,unknown,7,may,516,1,-1,0,unknown,no
978,33,management,single,tertiary,no,54,no,no,unknown,7,may,262,2,-1,0,unknown,no
991,37,unemployed,divorced,primary,no,849,yes,no,unknown,7,may,166,1,-1,0,unknown,no
992,33,management,married,tertiary,no,436,yes,no,unknown,7,may,48,1,-1,0,unknown,no
996,37,blue-collar,married,primary,no,310,yes,no,unknown,7,may,474,1,-1,0,unknown,no
999,49,services,married,secondary,no,1377,yes,no,unknown,7,may,1101,1,-1,0,unknown,no
1004,44,services,married,primary,no,-79,yes,no,unknown,7,may,179,2,-1,0,unknown,no
1005,44,blue-collar,divorced,secondary,no,558,yes,no,unknown,7,may,485,1,-1,0,unknown,no
1008,41,blue-collar,married,unknown,no,225,yes,no,unknown,7,may,690,2,-1,0,unknown,no
1010,53,services,married,primary,no,46,yes,no,unknown,7,may,274,1,-1,0,unknown,no
1011,35,blue-collar,married,primary,no,624,yes,no,unknown,7,may,163,1,-1,0,unknown,no
1013,39,admin.,single,secondary,no,573,yes,no,unknown,7,may,329,1,-1,0,unknown,no
1015,52,services,divorced,secondary,no,220,yes,no,unknown,7,may,143,3,-1,0,unknown,no
1016,34,blue-collar,married,secondary,no,2308,yes,no,unknown,7,may,1062,1,-1,0,unknown,no
1017,37,blue-collar,divorced,primary,no,139,yes,no,unknown,7,may,71,1,-1,0,unknown,no
1019,52,entrepreneur,divorced,primary,no,278,yes,no,unknown,7,may,688,2,-1,0,unknown,no
1021,36,entrepreneur,married,tertiary,no,1722,yes,no,unknown,7,may,349,2,-1,0,unknown,no
1027,40,technician,married,primary,no,164,yes,no,unknown,7,may,398,1,-1,0,unknown,no
1029,31,blue-collar,married,primary,no,19,yes,no,unknown,7,may,241,2,-1,0,unknown,no
1034,39,blue-collar,married,primary,no,867,yes,no,unknown,7,may,481,1,-1,0,unknown,no
1037,29,blue-collar,single,primary,no,365,yes,yes,unknown,7,may,245,2,-1,0,unknown,no
1038,60,blue-collar,divorced,secondary,no,1310,no,no,unknown,7,may,152,2,-1,0,unknown,no
1040,50,services,single,primary,no,148,yes,no,unknown,7,may,198,2,-1,0,unknown,no
1047,23,management,single,tertiary,no,2605,yes,no,unknown,7,may,278,6,-1,0,unknown,no
1057,44,blue-collar,married,primary,no,-171,yes,no,unknown,7,may,441,2,-1,0,unknown,no
1065,29,services,single,secondary,no,-158,yes,no,unknown,7,may,128,2,-1,0,unknown,no
1067,44,entrepreneur,married,primary,no,58,yes,no,unknown,7,may,113,3,-1,0,unknown,no
1075,44,blue-collar,married,primary,no,420,yes,no,unknown,7,may,110,2,-1,0,unknown,no
1083,38,blue-collar,married,secondary,no,22,yes,yes,unknown,7,may,353,4,-1,0,unknown,no
1094,46,blue-collar,single,secondary,no,76,yes,no,unknown,7,may,245,2,-1,0,unknown,no
1095,32,admin.,married,secondary,no,1293,yes,no,unknown,7,may,161,2,-1,0,unknown,no
1098,46,admin.,married,primary,no,40,yes,no,unknown,7,may,591,3,-1,0,unknown,no
1103,44,blue-collar,single,secondary,no,-212,yes,yes,unknown,7,may,103,4,-1,0,unknown,no
1104,52,technician,married,unknown,no,133,yes,no,unknown,7,may,253,8,-1,0,unknown,no
1119,33,blue-collar,divorced,secondary,no,126,yes,no,unknown,7,may,248,3,-1,0,unknown,no
1127,46,technician,married,secondary,no,1571,yes,no,unknown,7,may,489,2,-1,0,unknown,no
1131,43,admin.,single,secondary,no,2527,yes,no,unknown,7,may,276,4,-1,0,unknown,no
1133,38,blue-collar,single,primary,no,20,yes,no,unknown,7,may,81,2,-1,0,unknown,no
1139,37,blue-collar,married,secondary,no,374,yes,no,unknown,7,may,944,3,-1,0,unknown,no
1142,34,services,divorced,secondary,no,78,yes,no,unknown,7,may,35,3,-1,0,unknown,no
1149,48,admin.,divorced,secondary,no,268,yes,no,unknown,7,may,71,4,-1,0,unknown,no
1156,38,unemployed,married,primary,no,447,yes,no,unknown,7,may,365,4,-1,0,unknown,no
1166,32,management,single,tertiary,no,111,yes,no,unknown,8,may,162,2,-1,0,unknown,no
1187,41,management,married,tertiary,no,141,yes,yes,unknown,8,may,146,3,-1,0,unknown,no
1190,56,management,divorced,tertiary,no,177,yes,no,unknown,8,may,1040,1,-1,0,unknown,no
1196,36,admin.,single,secondary,no,206,yes,no,unknown,8,may,183,1,-1,0,unknown,no
1204,39,admin.,married,secondary,no,419,yes,yes,unknown,8,may,35,1,-1,0,unknown,no
1208,44,housemaid,married,secondary,no,281,yes,no,unknown,8,may,604,1,-1,0,unknown,no
1220,48,admin.,single,secondary,no,96,yes,no,unknown,8,may,255,1,-1,0,unknown,no
1224,26,blue-collar,married,secondary,yes,20,yes,no,unknown,8,may,200,1,-1,0,unknown,no
1233,42,technician,married,secondary,no,0,yes,no,unknown,8,may,66,2,-1,0,unknown,no
1237,34,entrepreneur,married,tertiary,no,10350,yes,no,unknown,8,may,187,3,-1,0,unknown,no
1245,49,management,married,secondary,no,104,yes,no,unknown,8,may,285,1,-1,0,unknown,no
1246,26,blue-collar,single,primary,no,318,yes,no,unknown,8,may,101,1,-1,0,unknown,no
1247,35,technician,single,secondary,no,2151,yes,no,unknown,8,may,294,1,-1,0,unknown,no
1258,35,self-employed,married,tertiary,no,844,yes,no,unknown,8,may,60,1,-1,0,unknown,no
1259,49,admin.,married,primary,no,458,yes,no,unknown,8,may,381,1,-1,0,unknown,no
1267,32,technician,single,secondary,no,10,yes,no,unknown,8,may,107,1,-1,0,unknown,no
1270,57,management,married,tertiary,no,1341,yes,no,unknown,8,may,339,2,-1,0,unknown,no
1271,48,blue-collar,married,primary,no,4,yes,no,unknown,8,may,198,1,-1,0,unknown,no
1280,35,management,single,tertiary,no,797,yes,no,unknown,8,may,81,1,-1,0,unknown,no
1281,46,blue-collar,single,secondary,no,152,yes,no,unknown,8,may,33,4,-1,0,unknown,no
1282,39,blue-collar,married,primary,no,481,yes,no,unknown,8,may,204,1,-1,0,unknown,no
1287,32,blue-collar,married,secondary,no,715,yes,no,unknown,8,may,108,2,-1,0,unknown,no
1290,35,technician,married,secondary,no,319,yes,no,unknown,8,may,74,1,-1,0,unknown,no
1300,24,technician,single,tertiary,no,777,yes,no,unknown,8,may,131,1,-1,0,unknown,no
1301,41,management,divorced,tertiary,no,47,yes,no,unknown,8,may,160,1,-1,0,unknown,no
1304,40,management,married,tertiary,no,121,no,no,unknown,8,may,82,1,-1,0,unknown,no
1306,40,technician,married,secondary,no,697,yes,no,unknown,8,may,111,1,-1,0,unknown,no
1333,34,blue-collar,single,secondary,no,177,yes,no,unknown,8,may,500,1,-1,0,unknown,no
1338,35,blue-collar,divorced,secondary,no,0,yes,no,unknown,8,may,477,1,-1,0,unknown,no
1345,50,technician,married,secondary,no,389,yes,no,unknown,8,may,110,1,-1,0,unknown,no
1349,34,services,married,secondary,no,142,yes,no,unknown,8,may,159,4,-1,0,unknown,no
1352,46,blue-collar,married,primary,no,-768,yes,no,unknown,8,may,194,3,-1,0,unknown,no
1364,37,technician,single,tertiary,no,31,yes,no,unknown,8,may,72,1,-1,0,unknown,no
1368,28,self-employed,married,tertiary,no,120,yes,yes,unknown,8,may,130,3,-1,0,unknown,no
1369,31,blue-collar,married,secondary,no,335,yes,no,unknown,8,may,226,1,-1,0,unknown,no
1372,31,services,married,secondary,no,28,yes,no,unknown,8,may,101,1,-1,0,unknown,no
1384,34,management,single,tertiary,no,163,no,no,unknown,8,may,44,1,-1,0,unknown,no
1387,37,admin.,married,primary,no,242,yes,no,unknown,8,may,161,8,-1,0,unknown,no
1394,28,blue-collar,married,primary,no,113,yes,no,unknown,8,may,534,2,-1,0,unknown,no
1399,35,blue-collar,married,secondary,no,-339,yes,no,unknown,8,may,389,2,-1,0,unknown,no
1402,26,student,single,unknown,no,-41,yes,no,unknown,8,may,229,2,-1,0,unknown,no
1403,25,blue-collar,single,secondary,no,0,yes,no,unknown,8,may,30,2,-1,0,unknown,no
1406,28,services,married,secondary,no,20,yes,yes,unknown,8,may,252,2,-1,0,unknown,no
1410,31,blue-collar,married,primary,no,406,yes,no,unknown,8,may,31,1,-1,0,unknown,no
1415,44,technician,married,unknown,no,185,yes,yes,unknown,8,may,63,1,-1,0,unknown,no
1417,43,management,divorced,tertiary,no,388,yes,no,unknown,8,may,2087,2,-1,0,unknown,yes
1424,53,blue-collar,divorced,primary,no,255,yes,no,unknown,8,may,206,2,-1,0,unknown,no
1436,36,services,divorced,secondary,no,241,yes,no,unknown,8,may,133,1,-1,0,unknown,no
1440,46,blue-collar,married,secondary,no,125,yes,yes,unknown,8,may,119,2,-1,0,unknown,no
1443,26,blue-collar,single,secondary,no,-132,no,no,unknown,8,may,12,1,-1,0,unknown,no
1445,32,blue-collar,married,primary,no,289,yes,no,unknown,8,may,23,4,-1,0,unknown,no
1449,29,management,divorced,tertiary,no,607,yes,yes,unknown,8,may,240,3,-1,0,unknown,no
1452,55,entrepreneur,married,primary,no,298,yes,no,unknown,8,may,144,3,-1,0,unknown,no
