,X,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
957,13299,26,admin.,single,secondary,no,102,no,yes,cellular,8,jul,658,2,-1,0,unknown,yes
16509,42689,30,management,single,tertiary,no,720,no,no,cellular,15,jan,1265,4,210,4,other,yes
8775,43284,61,admin.,married,secondary,no,4608,no,no,cellular,12,mar,212,1,-1,0,unknown,yes
25539,43433,43,technician,divorced,unknown,no,4389,no,no,cellular,8,apr,618,1,-1,0,unknown,yes
13410,13105,26,self-employed,single,secondary,no,551,no,no,cellular,8,jul,531,1,-1,0,unknown,yes
272,42757,44,technician,married,secondary,no,2776,yes,no,cellular,27,jan,701,1,-1,0,unknown,yes
16131,39099,34,management,single,unknown,no,6013,yes,no,cellular,18,may,612,1,-1,0,unknown,yes
2694,43641,46,blue-collar,married,secondary,no,640,yes,no,cellular,6,may,246,1,55,5,success,yes
2823,34894,34,entrepreneur,married,tertiary,no,0,yes,no,cellular,6,may,611,1,183,1,failure,yes
19315,43234,33,management,divorced,tertiary,no,2240,no,no,cellular,8,mar,264,2,278,1,success,yes
16041,37712,39,management,married,tertiary,no,1738,yes,no,cellular,14,may,633,1,358,1,other,yes
11814,43252,76,retired,divorced,primary,no,802,no,no,cellular,9,mar,241,1,181,5,success,yes
14634,41173,29,management,single,tertiary,no,2531,no,no,cellular,19,aug,634,1,-1,0,unknown,yes
6596,42989,33,unemployed,married,secondary,no,1211,no,no,cellular,11,feb,535,1,188,1,success,yes
18406,42651,80,retired,married,primary,no,1468,no,no,cellular,13,jan,330,3,-1,0,unknown,yes
3380,18172,27,management,single,tertiary,no,1,yes,no,cellular,30,jul,764,4,-1,0,unknown,yes
11408,11214,35,blue-collar,married,unknown,no,1201,no,no,unknown,18,jun,537,1,-1,0,unknown,yes
10251,29969,30,self-employed,married,tertiary,no,2666,no,no,cellular,4,feb,467,1,-1,0,unknown,yes
7609,31330,31,management,divorced,tertiary,no,71,no,no,cellular,12,mar,119,1,-1,0,unknown,yes
20550,31048,22,student,single,secondary,no,381,no,no,cellular,12,feb,227,1,-1,0,unknown,yes
17600,12685,49,blue-collar,married,primary,no,-157,yes,no,cellular,7,jul,491,3,-1,0,unknown,yes
2562,41221,61,admin.,married,secondary,no,1046,yes,no,cellular,21,aug,158,1,-1,0,unknown,yes
21209,43282,80,retired,married,primary,no,155,no,no,telephone,12,mar,290,1,93,2,success,yes
13792,20851,43,management,married,tertiary,no,2383,no,no,cellular,13,aug,379,6,-1,0,unknown,yes
2682,35231,42,blue-collar,married,primary,no,1461,yes,no,cellular,7,may,757,2,170,3,failure,yes
21949,32006,44,self-employed,single,tertiary,no,1367,yes,no,cellular,13,apr,1232,3,146,1,other,yes
26265,41563,71,retired,divorced,tertiary,yes,1236,yes,no,cellular,14,sep,335,4,-1,0,unknown,yes
19535,42222,53,management,married,tertiary,no,1624,no,no,cellular,11,nov,166,3,97,7,success,yes
20518,26545,36,management,single,tertiary,no,2032,no,yes,cellular,20,nov,736,1,-1,0,unknown,yes
12083,8732,24,blue-collar,married,secondary,no,-389,yes,yes,unknown,4,jun,1242,1,-1,0,unknown,yes
2156,43575,55,technician,married,tertiary,no,1320,no,no,cellular,28,apr,387,2,-1,0,unknown,yes
8668,31258,32,management,single,tertiary,no,506,no,no,cellular,5,mar,63,2,-1,0,unknown,yes
21541,33968,33,technician,married,tertiary,no,4401,no,no,cellular,30,apr,439,1,-1,0,unknown,yes
23090,40406,41,blue-collar,married,secondary,no,203,no,no,cellular,2,jul,342,2,-1,0,unknown,yes
6495,43300,71,retired,married,tertiary,no,3561,no,no,telephone,15,mar,577,7,-1,0,unknown,yes
4423,43250,31,management,single,tertiary,no,147,no,no,cellular,9,mar,469,1,181,2,success,yes
4199,14150,60,retired,divorced,secondary,no,1099,no,no,cellular,11,jul,764,2,-1,0,unknown,yes
23374,44533,39,blue-collar,married,secondary,no,1382,yes,no,cellular,12,aug,357,1,182,2,success,yes
1600,12565,33,services,married,secondary,no,114,no,yes,unknown,3,jul,676,1,-1,0,unknown,yes
14938,43630,41,technician,single,tertiary,no,1646,yes,no,cellular,5,may,258,1,90,7,success,yes
13132,42516,66,housemaid,married,primary,no,1230,no,no,cellular,17,dec,726,3,-1,0,unknown,yes
22246,31851,38,blue-collar,single,secondary,no,2580,yes,no,cellular,8,apr,1691,2,264,3,failure,yes
5582,43468,35,technician,single,tertiary,no,670,no,no,cellular,13,apr,278,4,182,2,success,yes
20297,20682,30,management,single,tertiary,no,4210,no,no,cellular,12,aug,796,4,-1,0,unknown,yes
19120,1833,40,blue-collar,married,secondary,no,10,yes,no,unknown,9,may,1692,2,-1,0,unknown,yes
5336,16638,38,entrepreneur,married,secondary,no,593,yes,yes,cellular,24,jul,1484,24,-1,0,unknown,yes
17827,11712,60,retired,married,secondary,no,1690,no,no,unknown,20,jun,1467,4,-1,0,unknown,yes
672,33854,34,blue-collar,married,secondary,no,640,yes,no,cellular,29,apr,636,2,-1,0,unknown,yes
9104,31252,24,management,single,tertiary,no,1030,no,no,cellular,4,mar,396,2,-1,0,unknown,yes
23211,43774,71,retired,married,primary,no,3230,no,no,cellular,24,may,341,2,133,3,failure,yes
8292,1521,37,unemployed,single,secondary,no,381,yes,no,unknown,8,may,985,2,-1,0,unknown,yes
17628,44229,42,management,married,unknown,no,1519,no,no,cellular,19,jul,268,1,-1,0,unknown,yes
23148,30906,33,blue-collar,single,tertiary,no,700,no,no,cellular,9,feb,126,1,88,1,success,yes
3713,42678,60,retired,divorced,tertiary,no,979,yes,no,cellular,15,jan,295,3,347,1,failure,yes
18731,42376,53,technician,married,secondary,no,1982,yes,yes,cellular,27,nov,160,1,-1,0,unknown,yes
18244,39026,25,management,married,tertiary,no,-242,yes,yes,cellular,18,may,600,4,332,4,other,yes
21253,31453,41,management,married,tertiary,no,1468,yes,no,cellular,31,mar,237,3,-1,0,unknown,yes
5422,41205,34,admin.,married,secondary,no,1406,yes,no,cellular,20,aug,63,2,85,1,success,yes
13033,31181,25,technician,single,secondary,no,1231,yes,no,cellular,27,feb,412,5,-1,0,unknown,yes
12005,6632,26,technician,single,secondary,no,668,yes,no,unknown,28,may,576,3,-1,0,unknown,yes
620,44368,34,management,single,tertiary,no,275,no,no,cellular,2,aug,196,2,455,23,other,yes
19139,43527,40,technician,married,tertiary,no,206,no,no,cellular,23,apr,499,6,185,4,success,yes
853,39725,43,admin.,married,secondary,no,132,no,no,cellular,27,may,187,2,71,1,success,yes
15871,43081,82,retired,married,secondary,no,121,no,no,telephone,19,feb,330,1,-1,0,unknown,yes
18108,13987,26,management,single,tertiary,no,45,no,no,cellular,10,jul,1187,3,-1,0,unknown,yes
25822,16814,49,technician,divorced,secondary,no,305,no,no,cellular,24,jul,367,2,-1,0,unknown,yes
4917,43927,27,management,single,tertiary,no,1720,no,no,cellular,15,jun,910,1,224,3,success,yes
10423,40948,74,retired,married,primary,no,0,no,no,telephone,13,aug,562,2,-1,0,unknown,yes
6098,17871,50,admin.,married,secondary,no,2678,no,no,telephone,30,jul,1011,6,-1,0,unknown,yes
9146,19824,47,services,married,secondary,no,405,no,yes,cellular,8,aug,994,2,-1,0,unknown,yes
19696,34326,31,technician,married,tertiary,no,636,yes,no,cellular,4,may,352,4,-1,0,unknown,yes
24907,34362,24,student,single,secondary,no,387,no,no,telephone,4,may,340,8,-1,0,unknown,yes
24920,41150,49,technician,single,secondary,no,9131,yes,no,cellular,18,aug,532,1,461,5,failure,yes
19353,44680,43,technician,married,secondary,no,4945,yes,no,cellular,3,sep,219,3,185,2,success,yes
5497,41583,50,management,divorced,tertiary,no,810,no,no,cellular,15,sep,91,1,103,3,success,yes
14488,26840,53,management,divorced,tertiary,no,2679,no,no,cellular,20,nov,295,3,-1,0,unknown,yes
103,20455,32,management,divorced,tertiary,no,874,no,no,cellular,12,aug,1282,6,-1,0,unknown,yes
11825,15691,29,blue-collar,single,secondary,no,-20,no,yes,cellular,21,jul,574,1,-1,0,unknown,yes
14464,40811,53,blue-collar,divorced,primary,no,4401,no,no,telephone,11,aug,254,1,-1,0,unknown,yes
23209,34210,41,blue-collar,married,secondary,no,5060,no,no,cellular,4,may,963,1,83,3,success,yes
10133,13691,27,unemployed,single,primary,no,9,no,yes,cellular,9,jul,919,2,-1,0,unknown,yes
2099,24110,43,retired,married,secondary,no,860,no,no,telephone,30,oct,132,1,-1,0,unknown,yes
25069,28942,55,technician,married,secondary,yes,-308,no,no,cellular,2,feb,781,1,-1,0,unknown,yes
149,30918,28,technician,single,tertiary,no,4987,no,no,cellular,9,feb,253,21,-1,0,unknown,yes
22273,19283,42,technician,married,tertiary,no,14282,yes,no,cellular,6,aug,649,4,-1,0,unknown,yes
23348,20644,40,management,married,secondary,no,4396,no,no,cellular,12,aug,432,3,-1,0,unknown,yes
9611,22814,50,management,married,tertiary,no,1396,no,no,cellular,25,aug,731,6,-1,0,unknown,yes
10040,40498,40,technician,single,tertiary,no,431,no,no,cellular,7,jul,180,2,-1,0,unknown,yes
6349,41558,73,retired,married,tertiary,no,1843,no,no,cellular,11,sep,106,2,-1,0,unknown,yes
7278,32803,71,retired,married,primary,no,2988,no,no,telephone,17,apr,130,1,-1,0,unknown,yes
20044,40691,46,management,married,tertiary,no,4693,no,yes,cellular,7,aug,79,1,394,2,failure,yes
12896,31395,46,management,married,tertiary,no,11385,no,no,cellular,24,mar,269,3,-1,0,unknown,yes
22885,44355,22,student,single,unknown,no,1232,no,no,cellular,30,jul,283,1,430,2,other,yes
16862,37107,38,blue-collar,married,primary,no,1852,yes,no,cellular,13,may,606,1,-1,0,unknown,yes
3810,27659,42,management,married,tertiary,no,1275,yes,yes,cellular,21,nov,925,5,-1,0,unknown,yes
12764,43105,29,student,single,secondary,no,67,no,no,cellular,23,feb,211,1,187,5,success,yes
15335,19490,47,admin.,married,secondary,no,3070,no,no,cellular,7,aug,663,4,-1,0,unknown,yes
23597,15393,41,blue-collar,divorced,primary,no,138,yes,no,cellular,18,jul,640,3,-1,0,unknown,yes
6254,45206,25,technician,single,secondary,no,505,no,yes,cellular,17,nov,386,2,-1,0,unknown,yes
12602,31174,30,management,single,tertiary,no,5561,yes,no,cellular,27,feb,195,1,100,1,success,yes
24846,25926,32,technician,single,tertiary,no,550,no,no,cellular,19,nov,337,1,-1,0,unknown,yes
25335,42063,61,management,married,tertiary,no,477,yes,no,cellular,29,oct,377,1,520,1,other,yes
2493,39341,38,technician,single,secondary,no,-242,yes,no,cellular,18,may,1173,3,278,6,success,yes
875,39971,33,management,divorced,tertiary,no,2240,no,no,cellular,3,jun,198,1,-1,0,unknown,yes
15738,42013,29,services,single,tertiary,no,1788,no,no,cellular,27,oct,353,1,-1,0,unknown,yes
4730,43943,30,services,divorced,secondary,no,436,yes,no,cellular,17,jun,1720,1,-1,0,unknown,yes
18701,42254,38,admin.,married,secondary,no,1767,yes,no,cellular,12,nov,893,7,-1,0,unknown,yes
8951,44938,26,unemployed,single,tertiary,no,3466,no,no,cellular,6,oct,275,2,-1,0,unknown,yes
27114,42249,77,retired,divorced,secondary,no,3417,no,no,cellular,12,nov,134,1,-1,0,unknown,yes
21095,44847,41,technician,married,secondary,no,1819,no,no,cellular,22,sep,397,1,371,3,failure,yes
17805,44644,75,retired,married,primary,no,1413,no,no,cellular,1,sep,532,2,188,2,success,yes
22643,31791,60,admin.,divorced,secondary,no,12039,no,no,telephone,8,apr,236,1,-1,0,unknown,yes
5194,28690,60,technician,married,tertiary,no,-71,yes,yes,cellular,30,jan,1451,1,-1,0,unknown,yes
23120,43801,32,admin.,single,secondary,no,344,no,no,cellular,26,may,530,2,-1,0,unknown,yes
25435,44351,64,retired,married,primary,no,12067,no,no,telephone,30,jul,367,2,92,2,success,yes
8248,44293,44,self-employed,divorced,secondary,no,8,no,no,cellular,26,jul,423,4,-1,0,unknown,yes
21343,44557,35,management,married,tertiary,no,2717,no,no,cellular,13,aug,394,6,-1,0,unknown,yes
21288,3558,46,blue-collar,married,secondary,no,668,yes,no,unknown,15,may,1263,2,-1,0,unknown,yes
25853,25236,46,management,married,tertiary,no,0,no,no,cellular,18,nov,716,2,110,3,other,yes
6193,2866,41,blue-collar,married,secondary,no,2823,yes,no,unknown,14,may,858,1,-1,0,unknown,yes
18295,15093,32,blue-collar,single,secondary,no,118,yes,no,cellular,17,jul,1275,1,-1,0,unknown,yes
9792,458,37,technician,married,secondary,no,1,yes,no,unknown,6,may,608,1,-1,0,unknown,yes
11743,43168,73,retired,married,unknown,no,519,no,no,telephone,26,feb,270,3,133,2,success,yes
23487,34336,39,management,single,tertiary,no,2454,yes,no,cellular,4,may,716,3,263,2,failure,yes
26981,42621,34,unemployed,single,secondary,no,15,no,no,cellular,12,jan,377,1,-1,0,unknown,yes
19282,44170,23,student,single,secondary,no,1298,no,no,cellular,14,jul,603,1,-1,0,unknown,yes
10931,43611,34,unemployed,single,secondary,no,1965,no,no,telephone,4,may,714,1,-1,0,unknown,yes
21700,44090,37,technician,married,secondary,no,432,yes,no,cellular,6,jul,386,3,776,55,failure,yes
24475,39080,36,housemaid,single,secondary,no,1015,yes,no,cellular,18,may,1008,1,347,2,success,yes
16086,40616,57,management,married,tertiary,no,1660,no,no,cellular,4,aug,642,1,-1,0,unknown,yes
16005,36466,41,blue-collar,married,secondary,no,1236,yes,no,cellular,11,may,911,3,-1,0,unknown,yes
2569,45043,64,retired,married,secondary,no,466,yes,no,cellular,18,oct,526,1,-1,0,unknown,yes
4926,41710,37,blue-collar,married,secondary,no,604,yes,no,cellular,7,oct,371,1,495,1,failure,yes
10888,9124,38,services,divorced,secondary,no,61,no,no,unknown,5,jun,636,1,-1,0,unknown,yes
9064,42990,77,retired,married,secondary,no,638,no,no,cellular,11,feb,288,1,188,1,success,yes
3908,1088,30,blue-collar,married,secondary,no,309,yes,no,unknown,7,may,1574,2,-1,0,unknown,yes
26973,26783,31,technician,single,tertiary,no,13711,yes,no,cellular,20,nov,1532,3,-1,0,unknown,yes
23273,17261,49,services,divorced,secondary,no,0,no,no,cellular,28,jul,412,2,-1,0,unknown,yes
14426,42200,52,unemployed,married,secondary,no,94,no,no,cellular,10,nov,293,3,190,10,failure,yes
26158,43571,30,management,single,tertiary,no,697,no,no,cellular,28,apr,545,2,181,8,success,yes
21471,19179,46,technician,married,secondary,no,940,no,no,cellular,5,aug,1227,2,-1,0,unknown,yes
21061,21081,34,housemaid,married,primary,no,2929,no,no,cellular,14,aug,518,2,-1,0,unknown,yes
18783,43911,21,student,single,unknown,no,53,no,no,cellular,14,jun,270,1,-1,0,unknown,yes
8281,21210,45,technician,single,tertiary,no,0,no,no,cellular,18,aug,773,4,-1,0,unknown,yes
21899,43074,38,management,single,tertiary,no,455,yes,no,cellular,19,feb,255,2,555,6,success,yes
8237,44616,34,admin.,single,tertiary,no,625,no,yes,unknown,31,aug,34,1,-1,0,unknown,yes
880,42279,67,retired,married,secondary,no,1146,no,no,cellular,13,nov,259,1,92,2,failure,yes
13229,3983,54,management,single,tertiary,no,4393,yes,no,unknown,16,may,1297,3,-1,0,unknown,yes
18524,39767,38,housemaid,divorced,secondary,no,70,no,no,cellular,1,jun,263,1,-1,0,unknown,yes
5570,30911,30,admin.,single,secondary,no,270,no,no,cellular,9,feb,123,1,-1,0,unknown,yes
24138,44098,47,management,single,tertiary,no,6651,no,no,cellular,8,jul,229,1,412,2,failure,yes
19480,15439,34,admin.,divorced,secondary,no,-251,no,no,cellular,18,jul,641,1,-1,0,unknown,yes
25650,23827,35,technician,single,secondary,no,3490,yes,no,cellular,29,aug,643,2,-1,0,unknown,yes
16983,30618,31,management,single,tertiary,no,12857,yes,no,cellular,6,feb,158,1,92,1,success,yes
4863,41397,70,retired,married,secondary,no,2626,no,no,cellular,2,sep,140,2,-1,0,unknown,yes
26438,43654,77,unknown,married,unknown,no,397,no,no,telephone,7,may,300,3,-1,0,unknown,yes
15249,43103,23,student,single,secondary,no,381,no,no,cellular,23,feb,696,1,189,2,other,yes
21817,41308,36,blue-collar,single,secondary,no,40,yes,no,cellular,27,aug,259,3,475,4,success,yes
7097,41864,40,technician,married,secondary,no,2338,no,no,cellular,16,oct,717,2,-1,0,unknown,yes
21647,32056,62,retired,married,primary,no,1084,no,no,cellular,14,apr,505,1,-1,0,unknown,yes
22827,4754,41,blue-collar,married,primary,no,1250,yes,no,unknown,20,may,1392,2,-1,0,unknown,yes
8236,42164,54,technician,married,secondary,no,0,no,no,cellular,6,nov,464,5,192,8,other,yes
9612,9382,26,admin.,married,secondary,no,710,yes,yes,unknown,6,jun,1276,2,-1,0,unknown,yes
23391,27025,31,self-employed,married,tertiary,no,5,yes,yes,cellular,21,nov,635,1,135,2,failure,yes
23492,21852,53,management,married,tertiary,no,15,no,no,cellular,20,aug,921,2,-1,0,unknown,yes
21444,41287,70,retired,married,secondary,no,1853,no,no,telephone,26,aug,314,1,-1,0,unknown,yes
23727,16483,51,admin.,single,secondary,no,895,no,no,cellular,23,jul,638,2,-1,0,unknown,yes
17877,41924,87,retired,divorced,primary,no,6746,no,no,telephone,21,oct,749,1,-1,0,unknown,yes
15826,12248,36,unemployed,married,tertiary,no,4145,no,no,unknown,20,jun,988,4,-1,0,unknown,yes
25727,37251,32,blue-collar,single,primary,no,398,yes,no,cellular,13,may,716,1,-1,0,unknown,yes
19188,44400,43,blue-collar,married,primary,no,2952,no,no,cellular,3,aug,417,2,95,1,other,yes
23665,42188,42,management,married,tertiary,no,2816,no,no,cellular,10,nov,193,2,-1,0,unknown,yes
1788,44514,24,student,single,secondary,no,1925,no,no,cellular,11,aug,1363,1,-1,0,unknown,yes
21880,8822,29,services,single,secondary,no,32,yes,no,unknown,4,jun,563,1,-1,0,unknown,yes
25924,41122,62,retired,married,secondary,no,1495,no,no,cellular,17,aug,606,1,196,1,success,yes
16074,10990,60,management,married,tertiary,no,3301,no,no,unknown,17,jun,2621,3,-1,0,unknown,yes
8350,3372,40,services,married,primary,no,-9,yes,no,unknown,15,may,920,2,-1,0,unknown,yes
2303,27110,41,services,single,secondary,no,92,no,no,cellular,21,nov,372,1,-1,0,unknown,yes
5552,42698,42,technician,married,secondary,no,994,yes,no,cellular,18,jan,453,1,67,9,success,yes
14502,18957,52,management,married,tertiary,no,7192,no,no,cellular,4,aug,1486,1,-1,0,unknown,yes
1358,42666,32,admin.,married,secondary,no,51,yes,yes,cellular,14,jan,203,1,87,2,other,yes
20532,20408,46,unemployed,married,secondary,no,2551,no,no,cellular,12,aug,645,2,-1,0,unknown,yes
5537,42628,28,services,single,secondary,no,168,no,no,cellular,12,jan,387,1,194,1,other,yes
7984,40071,41,services,married,secondary,no,0,yes,yes,cellular,4,jun,352,2,122,2,failure,yes
18466,33898,36,admin.,married,secondary,no,96,no,no,cellular,30,apr,208,1,87,1,success,yes
22738,3510,41,retired,divorced,primary,no,-233,yes,no,unknown,15,may,1156,2,-1,0,unknown,yes
21130,45072,27,unemployed,single,secondary,no,771,no,no,cellular,21,oct,181,1,302,3,other,yes
22692,9012,36,blue-collar,married,secondary,no,1772,no,no,unknown,5,jun,208,1,-1,0,unknown,yes
20081,21449,37,technician,single,secondary,no,1435,no,no,cellular,18,aug,724,16,-1,0,unknown,yes
14982,22534,59,admin.,married,secondary,no,1575,yes,no,cellular,22,aug,1241,11,-1,0,unknown,yes
25412,42367,29,admin.,single,secondary,no,265,yes,no,cellular,25,nov,414,1,184,1,failure,yes
14968,38410,54,unemployed,married,secondary,no,582,yes,no,cellular,15,may,693,5,372,2,failure,yes
25693,25077,38,technician,married,tertiary,no,3234,no,no,cellular,18,nov,578,2,-1,0,unknown,yes
410,31375,31,services,married,secondary,no,447,no,no,cellular,19,mar,220,3,-1,0,unknown,yes
22377,34235,60,technician,married,secondary,no,316,no,no,cellular,4,may,545,2,263,4,failure,yes
